14
Hera Aether Dionysus Chaos Chronos Aphrodite Erebus Gaia Ares Eros Pontus Hades Hypnos Hestia
Hera
   H  A  D  C C1 A1  E  G A2 E1  P H1 H2 H3
H  1  x  2  x  x  x  x  x  x  x  x  x  x  x
A  x  1  3  x  x  x  x  x  x  x  x  x  x  x
D  2  3 14  3  x  2  x  x  x  x  x  x  x  x
C  x  x  3  1  x  x  x  x  x  x  x  x  x  x
C  x  x  x  x  2  1  x  x  x  x  x  x  x  x
A  x  x  2  x  1  3  1  x  2  x  x  x  x  x
E  x  x  x  x  x  1  2  x  x  x  x  x  x  x
G  x  x  x  x  x  x  x 10 10  x  x  x  x  x
A  x  x  x  x  x  2  x 10 20 10  x  2  x  x
E  x  x  x  x  x  x  x  x 10 10  x  x  x  x
P  x  x  x  x  x  x  x  x  x  x  1  3  x  x
H  x  x  x  x  x  x  x  x  2  x  3 14  3  2
H  x  x  x  x  x  x  x  x  x  x  x  3  1  x
H  x  x  x  x  x  x  x  x  x  x  x  2  x  1
